key,visitors,pageviews
Mobile Safari,2426,6154
Chrome Mobile,2168,6358
Chrome,2063,4770
Firefox,669,1513
Chrome Mobile iOS,627,1441
Safari,360,799
Microsoft Edge,261,553
Firefox Mobile,260,807
Brave,183,499
Samsung Browser,152,501
Google Search App,142,386
Opera,95,231
Firefox Mobile iOS,55,136
Opera Mobile,35,79
Twitter,35,71
Opera Touch,18,48
Chrome Webview,12,37
Ecosia,12,38
Yandex Browser,11,34
Facebook,7,12
(unknown),5,5
Instagram App,4,8
Huawei Browser,3,8
Snapchat,3,4
Aloha Browser,2,5
MIUI Browser,2,13
DuckDuckGo Privacy Browser,1,1
Oculus Browser,1,4
Qwant Mobile,1,2
Steam In-Game Overlay,1,2
