key,visitors,pageviews
US,2764,6926
GB,601,1781
CA,492,1231
DE,480,1235
BR,384,1014
IN,372,888
NL,304,785
AU,263,614
FR,228,563
ID,156,353
ES,155,415
IT,145,377
PL,141,341
RO,134,324
(others),117,303
SE,108,285
RS,107,295
TR,104,264
PT,97,268
CH,96,249
BE,93,272
MX,83,194
PH,81,188
NO,80,183
GR,77,215
AT,73,182
IE,72,166
ZA,69,200
MY,68,159
AR,67,157
CZ,63,145
FI,63,171
AE,62,151
NZ,53,117
JP,52,118
BG,51,124
SG,51,129
HU,50,139
AL,45,132
IL,45,103
MA,45,113
CL,44,112
PK,44,125
DK,42,100
CO,37,93
RU,37,74
UA,37,86
EG,31,88
LV,31,67
HR,30,75
GE,29,68
NG,29,70
BA,28,77
TH,28,77
KE,26,70
LT,26,72
MK,26,69
DO,24,52
SA,24,67
SK,24,72
DZ,23,52
TN,21,60
BD,20,44
LB,20,53
EE,19,45
PR,19,51
HK,18,38
CY,17,51
VN,17,43
IQ,15,41
LK,13,43
LU,13,25
ME,13,36
TT,13,35
GH,12,34
PA,12,30
UY,11,23
KR,10,25
KW,10,23
QA,10,25
BH,9,25
GU,9,21
JM,9,25
PE,9,21
TZ,9,22
CR,8,16
IS,8,22
(unknown),7,18
EC,7,17
TW,7,15
XK,7,18
KZ,6,15
NP,6,14
OM,6,14
PY,6,16
SI,6,12
AM,5,14
ET,5,10
LY,5,15
RW,5,11
UZ,5,18
