date,visitors,pageviews
2026-07-01,0,0
2026-07-02,0,0
2026-07-03,0,0
2026-07-04,0,0
2026-07-05,0,0
2026-07-06,0,0
2026-07-07,0,0
2026-07-08,0,0
2026-07-09,0,0
2026-07-10,0,0
2026-07-11,42,71
2026-07-12,28,47
2026-07-13,16,24
2026-07-14,25,35
2026-07-15,20,26
2026-07-16,11,17
2026-07-17,10,12
2026-07-18,5,6
2026-07-19,6,8
2026-07-20,6,7
2026-07-21,3,4
2026-07-22,7,9
2026-07-23,2,2
2026-07-24,3,3
2026-07-25,0,0
2026-07-26,2,2
2026-07-27,7,13
2026-07-28,1,1
2026-07-29,3,3
2026-07-30,1,1
2026-07-31,1,1
2026-08-01,2,2
2026-08-02,3,5
2026-08-03,2,3
2026-08-04,2,2
2026-08-05,1,1
2026-08-06,1,1
2026-08-07,1,1
2026-08-08,1,1
2026-08-09,4,7
2026-08-10,5,10
2026-08-11,3,5
2026-08-12,7,9
2026-08-13,99,301
2026-08-14,488,1199
2026-08-15,253,654
2026-08-16,226,534
2026-08-17,183,452
2026-08-18,202,476
2026-08-19,268,627
2026-08-20,106,256
2026-08-21,83,238
2026-08-22,224,539
2026-08-23,126,280
2026-08-24,138,306
2026-08-25,79,136
2026-08-26,66,133
2026-08-27,44,78
2026-08-28,44,83
2026-08-29,34,69
2026-08-30,38,70
2026-08-31,29,65
2026-09-01,37,69
2026-09-02,39,68
2026-09-03,34,107
2026-09-04,43,104
2026-09-05,32,86
2026-09-06,4084,11434
2026-09-07,2368,5798
2026-09-08,16,18
2026-09-09,0,0
