hour_utc,visitors,pageviews
2026-09-06T00,1,1
2026-09-06T01,1,4
2026-09-06T02,2,4
2026-09-06T03,2,4
2026-09-06T04,1,2
2026-09-06T05,0,0
2026-09-06T06,0,0
2026-09-06T07,1,2
2026-09-06T08,1,8
2026-09-06T09,2,5
2026-09-06T10,1,2
2026-09-06T11,2,4
2026-09-06T12,2,6
2026-09-06T13,2,3
2026-09-06T14,4,13
2026-09-06T15,2,6
2026-09-06T16,16,27
2026-09-06T17,241,668
2026-09-06T18,364,902
2026-09-06T19,483,1261
2026-09-06T20,740,1929
2026-09-06T21,956,2478
2026-09-06T22,905,2286
2026-09-06T23,735,1819
2026-09-07T00,605,1434
2026-09-07T01,604,1419
2026-09-07T02,619,1489
2026-09-07T03,523,1185
2026-09-07T04,23,28
2026-09-07T05,21,25
2026-09-07T06,19,20
2026-09-07T07,13,13
2026-09-07T08,11,11
2026-09-07T09,11,12
2026-09-07T10,11,11
2026-09-07T11,12,13
2026-09-07T12,14,15
2026-09-07T13,20,24
2026-09-07T14,13,13
2026-09-07T15,11,16
2026-09-07T16,13,16
2026-09-07T17,8,9
2026-09-07T18,3,3
2026-09-07T19,5,5
2026-09-07T20,11,12
2026-09-07T21,7,7
2026-09-07T22,6,9
2026-09-07T23,8,9
2026-09-08T00,7,7
